ISO3166,Country,HDI Rank,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011
---,Very high human development,..,0.766,,0.786,,0.81,,0.834,,0.858,,0.876,,0.879,,0.882,,0.885,,0.885,,0.888,,0.889
---,High human development,..,0.614,,0.63,,0.648,,0.662,,0.687,,0.716,,0.721,,0.728,,0.733,,0.734,,0.739,,0.741
---,Medium human development,..,0.42,,0.45,,0.48,,0.517,,0.548,,0.587,,0.595,,0.605,,0.612,,0.618,,0.625,,0.63
---,Low human development,..,0.316,,0.334,,0.347,,0.363,,0.383,,0.422,,0.43,,0.437,,0.443,,0.448,,0.453,,0.456
NOR,Norway,1,0.796,,0.819,,0.844,,0.876,,0.913,,0.938,,0.94,,0.942,,0.941,,0.941,,0.941,,0.943
AUS,Australia,2,0.85,,0.859,,0.873,,0.889,,0.906,,0.918,,0.92,,0.922,,0.924,,0.926,,0.927,,0.929
NLD,Netherlands,3,0.792,,0.806,,0.835,,0.866,,0.882,,0.89,,0.897,,0.902,,0.904,,0.905,,0.909,,0.91
USA,United States,4,0.837,,0.853,,0.87,,0.883,,0.897,,0.902,,0.904,,0.905,,0.907,,0.906,,0.908,,0.91
NZL,New Zealand,5,0.8,,0.812,,0.828,,0.861,,0.878,,0.899,,0.901,,0.903,,0.904,,0.906,,0.908,,0.908
CAN,Canada,6,0.817,,0.834,,0.857,,0.87,,0.879,,0.892,,0.897,,0.9,,0.903,,0.903,,0.907,,0.908
IRL,Ireland,7,0.735,,0.754,,0.782,,0.813,,0.869,,0.898,,0.904,,0.909,,0.909,,0.905,,0.907,,0.908
LIE,Liechtenstein,8,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.904,,0.905
DEU,Germany,9,0.73,,0.745,,0.795,,0.835,,0.864,,0.895,,0.898,,0.901,,0.902,,0.9,,0.903,,0.905
SWE,Sweden,10,0.785,,0.796,,0.816,,0.855,,0.894,,0.896,,0.898,,0.899,,0.9,,0.898,,0.901,,0.904
CHE,Switzerland,11,0.81,,0.817,,0.833,,0.846,,0.873,,0.89,,0.893,,0.893,,0.892,,0.899,,0.901,,0.903
JPN,Japan,12,0.778,,0.803,,0.827,,0.85,,0.868,,0.886,,0.891,,0.894,,0.896,,0.895,,0.899,,0.901
HKG,"Hong Kong, China (SAR)",13,0.708,,0.745,,0.786,,0.81,,0.824,,0.85,,0.857,,0.87,,0.885,,0.888,,0.894,,0.898
ISL,Iceland,14,0.762,,0.782,,0.807,,0.83,,0.863,,0.893,,0.895,,0.899,,0.895,,0.897,,0.896,,0.898
KOR,Korea (Republic of),15,0.634,,0.69,,0.742,,0.793,,0.83,,0.866,,0.873,,0.881,,0.886,,0.889,,0.894,,0.897
DNK,Denmark,16,0.783,,0.802,,0.809,,0.833,,0.861,,0.885,,0.887,,0.89,,0.891,,0.891,,0.893,,0.895
ISR,Israel,17,0.763,,0.785,,0.802,,0.823,,0.856,,0.874,,0.877,,0.882,,0.882,,0.884,,0.886,,0.888
BEL,Belgium,18,0.757,,0.777,,0.811,,0.854,,0.876,,0.873,,0.877,,0.88,,0.882,,0.883,,0.885,,0.886
AUT,Austria,19,0.74,,0.762,,0.79,,0.814,,0.839,,0.86,,0.866,,0.87,,0.876,,0.879,,0.883,,0.885
FRA,France,20,0.722,,0.742,,0.777,,0.819,,0.846,,0.869,,0.873,,0.877,,0.879,,0.88,,0.883,,0.884
SVN,Slovenia,21,..,,..,,..,,0.759,,0.805,,0.848,,0.858,,0.868,,0.875,,0.876,,0.882,,0.884
FIN,Finland,22,0.759,,0.775,,0.794,,0.822,,0.837,,0.875,,0.878,,0.881,,0.883,,0.877,,0.88,,0.882
ESP,Spain,23,0.691,,0.717,,0.749,,0.801,,0.839,,0.857,,0.862,,0.866,,0.871,,0.874,,0.876,,0.878
ITA,Italy,24,0.717,,0.735,,0.764,,0.795,,0.825,,0.861,,0.866,,0.869,,0.871,,0.87,,0.873,,0.874
LUX,Luxembourg,25,0.728,,0.762,,0.788,,0.816,,0.854,,0.865,,0.863,,0.868,,0.867,,0.863,,0.865,,0.867
SGP,Singapore,26,..,,..,,..,,..,,0.801,,0.835,,0.843,,0.85,,0.855,,0.856,,0.864,,0.866
CZE,Czech Republic,27,..,,..,,..,,0.788,,0.816,,0.854,,0.858,,0.861,,0.864,,0.863,,0.863,,0.865
GBR,United Kingdom,28,0.744,,0.759,,0.778,,0.816,,0.833,,0.855,,0.853,,0.856,,0.86,,0.86,,0.862,,0.863
GRC,Greece,29,0.72,,0.747,,0.766,,0.776,,0.802,,0.856,,0.861,,0.86,,0.862,,0.863,,0.862,,0.861
ARE,United Arab Emirates,30,0.629,,0.652,,0.69,,0.724,,0.753,,0.807,,0.818,,0.827,,0.835,,0.841,,0.845,,0.846
CYP,Cyprus,31,..,,0.718,,0.747,,0.788,,0.8,,0.809,,0.814,,0.819,,0.827,,0.837,,0.839,,0.84
AND,Andorra,32,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.838,,0.838
BRN,Brunei Darussalam,33,0.75,,0.76,,0.784,,0.807,,0.818,,0.83,,0.834,,0.835,,0.834,,0.835,,0.837,,0.838
EST,Estonia,34,..,,..,,0.717,,0.716,,0.776,,0.821,,0.829,,0.834,,0.832,,0.828,,0.832,,0.835
SVK,Slovakia,35,..,,..,,0.747,,0.752,,0.779,,0.81,,0.817,,0.825,,0.831,,0.829,,0.832,,0.834
MLT,Malta,36,0.703,,0.72,,0.753,,0.771,,0.799,,0.825,,0.825,,0.826,,0.829,,0.827,,0.83,,0.832
QAT,Qatar,37,0.703,,0.728,,0.743,,0.76,,0.784,,0.818,,0.816,,0.825,,0.825,,0.818,,0.825,,0.831
HUN,Hungary,38,0.7,,0.71,,0.706,,0.737,,0.775,,0.803,,0.808,,0.809,,0.811,,0.811,,0.814,,0.816
